Route Number,Total Trains in Route,Segment Number,Train Number,Train Name,From Station,Departure Time,To Station,Arrival Time,Segment Distance (km),Segment Duration (hrs),Seat Availability,Waiting Time Before Segment (hrs),Total Route Distance (km),Total Route Duration,Estimated Cost (₹)
18,3,3,13239,PNBE-KOTA EX,LKO,23:55:00,KOTA,12:55:00,697.0,12.67,1,15.08,3681.0,81h 44m,3681.0
19,3,1,12258,KCVL-YPR EXP,PGT,00:15:00,YPR,09:30:00,436.0,8.72,1,0.0,4011.0,75h 21m,4011.0
19,3,2,16229,MYS-BSB BI-W,YPR,10:25:00,BSB,12:00:00,2555.0,44.05,1,0.92,4011.0,75h 21m,4011.0
19,3,3,13237,PNBE- KOTA,BSB,16:40:00,KOTA,12:55:00,1020.0,17.0,1,4.67,4011.0,75h 21m,4011.0
20,3,1,12258,KCVL-YPR EXP,PGT,00:15:00,YPR,09:30:00,436.0,8.72,1,0.0,3964.0,76h 2m,3964.0
20,3,2,16229,MYS-BSB BI-W,YPR,10:25:00,BSB,12:00:00,2555.0,44.05,1,0.92,3964.0,76h 2m,3964.0
20,3,3,13239,PNBE-KOTA EX,BSB,16:40:00,KOTA,12:55:00,973.0,17.69,1,4.67,3964.0,76h 2m,3964.0
21,3,1,12258,KCVL-YPR EXP,PGT,00:15:00,YPR,09:30:00,436.0,8.72,1,0.0,3115.0,76h 1m,3115.0
21,3,2,82653,YPR-JP WEEKL,YPR,11:30:00,JP,06:35:00,2440.0,42.07,0,2.0,3115.0,76h 1m,3115.0
21,3,3,19808,JP-KOTA EXP,JP,00:30:00,KOTA,05:20:00,239.0,5.31,1,17.92,3115.0,76h 1m,3115.0
22,3,1,12258,KCVL-YPR EXP,PGT,00:15:00,YPR,09:30:00,436.0,8.72,1,0.0,3115.0,81h 11m,3115.0
22,3,2,82653,YPR-JP WEEKL,YPR,11:30:00,JP,06:35:00,2440.0,42.07,0,2.0,3115.0,81h 11m,3115.0
22,3,3,22982,KOTA-HMH -KO,JP,05:40:00,KOTA,09:50:00,239.0,5.31,1,23.08,3115.0,81h 11m,3115.0
23,3,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3959.0,107h 40m,3959.0
23,3,2,11123,BARAUNI-GWL,GKP,05:05:00,GWL,20:55:00,658.0,11.96,1,13.75,3959.0,107h 40m,3959.0
23,3,3,59822,BHIND-KOTA P,GWL,20:50:00,KOTA,09:45:00,412.0,8.24,0,23.92,3959.0,107h 40m,3959.0
24,3,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,5155.0,122h 9m,5155.0
24,3,2,12491,MOURDHWAJ EX,GKP,14:00:00,JAT,11:50:00,1216.0,20.27,1,22.67,5155.0,122h 9m,5155.0
24,3,3,19804,SVDK-KOTA WE,JAT,23:45:00,KOTA,23:50:00,1050.0,17.5,0,11.92,5155.0,122h 9m,5155.0
25,3,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,5138.0,114h 12m,5138.0
25,3,2,12491,MOURDHWAJ EX,GKP,14:00:00,JAT,11:50:00,1216.0,20.27,1,22.67,5138.0,114h 12m,5138.0
25,3,3,19806,UHP-KOTA WEE,JAT,16:05:00,KOTA,11:10:00,1033.0,17.22,1,4.25,5138.0,114h 12m,5138.0
26,3,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,4888.0,110h 27m,4888.0
26,3,2,15909,AVADH ASSAM,GKP,23:55:00,LGH,04:30:00,1374.0,22.9,1,8.58,4888.0,110h 27m,4888.0
26,3,3,22982,KOTA-HMH -KO,LGH,22:18:00,KOTA,09:50:00,625.0,11.36,1,17.8,4888.0,110h 27m,4888.0
27,3,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3911.0,103h 58m,3911.0
27,3,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3911.0,103h 58m,3911.0
27,3,3,12060,KOTA JANSHTB,MTJ,15:20:00,KOTA,20:00:00,320.0,6.4,1,17.83,3911.0,103h 58m,3911.0
28,3,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3911.0,96h 23m,3911.0
28,3,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3911.0,96h 23m,3911.0
28,3,3,13237,PNBE- KOTA,MTJ,07:45:00,KOTA,12:55:00,320.0,6.4,1,10.25,3911.0,96h 23m,3911.0
29,3,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3911.0,96h 23m,3911.0
29,3,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3911.0,96h 23m,3911.0
29,3,3,13239,PNBE-KOTA EX,MTJ,07:45:00,KOTA,12:55:00,320.0,6.4,1,10.25,3911.0,96h 23m,3911.0
30,3,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3911.0,106h 48m,3911.0
30,3,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3911.0,106h 48m,3911.0
30,3,3,19804,SVDK-KOTA WE,MTJ,18:10:00,KOTA,23:50:00,320.0,6.4,0,20.67,3911.0,106h 48m,3911.0
31,3,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3911.0,94h 58m,3911.0
31,3,2,22531,chhapra-math,GKP,08:30:00,MTJ,21:30:00,702.0,12.76,1,17.17,3911.0,94h 58m,3911.0
31,3,3,19806,UHP-KOTA WEE,MTJ,06:20:00,KOTA,11:10:00,320.0,6.4,1,8.83,3911.0,94h 58m,3911.0
32,3,1,12512,RAPTISAGAR E,PGT,14:05:00,GKP,15:20:00,2889.0,49.81,1,0.0,3884.0,91h 29m,3884.0
32,3,2,55001,GKP-AY PASSE,GKP,07:40:00,AY,13:15:00,164.0,3.64,1,16.33,3884.0,91h 29m,3884.0
32,3,3,13237,PNBE- KOTA,AY,19:51:00,KOTA,12:55:00,831.0,15.11,1,6.6,3884.0,91h 29m,3884.0
33,3,1,12522,RAPTI SAGAR,PGT,14:05:00,BJU,22:50:00,3285.0,56.64,1,0.0,4635.0,89h 3m,4635.0
33,3,2,13205,SHC-DNR JANH,BJU,01:50:00,DNR,06:15:00,114.0,3.0,0,3.0,4635.0,89h 3m,4635.0
